id,name,category,address,pincode,latitude,longitude,phone,maps_url
esi_reg_dispensarycu,"Dispensary-cum-Branch Office (DCBO), Ramagundam",Tier 3: Dispensary-cum-Branch Office (DCBO),"NTPC Jyothinagar, Ramagundam, Telangana",505215,18.755,79.512,,"https://www.google.com/maps/search/?api=1&query=18.755,79.512"
esi_reg_esicmedicalc,"ESIC Medical College & PGIMSR, Basaidarapur",Tier 1: ESIC Medical College / PGIMSR,"Ring Road, Basaidarapur, New Delhi",110015,28.6601,77.1293,011-25970800,"https://www.google.com/maps/search/?api=1&query=28.6601,77.1293"
esi_reg_esichospital,"ESIC Hospital & PGIMSR, Okhla",Tier 1: ESIC Medical College / PGIMSR,"Sri Maa Anandmayee Marg, Okhla Phase 1, New Delhi",110020,28.5292,77.2764,011-26814161,"https://www.google.com/maps/search/?api=1&query=28.5292,77.2764"
esi_reg_esicmodelhos,"ESIC Model Hospital, Noida",Tier 1: ESIC Model / Super Speciality Hospital,"Sector 24, Noida, Uttar Pradesh",201301,28.5975,77.3488,0120-2411352,"https://www.google.com/maps/search/?api=1&query=28.5975,77.3488"
esi_reg_esichospital,"ESIC Hospital, Rohini",Tier 2: ESI / ESIS Secondary Hospital,"Sector 15, Rohini, New Delhi",110089,28.7214,77.129,011-27553098,"https://www.google.com/maps/search/?api=1&query=28.7214,77.129"
esi_reg_esichospital,"ESIC Hospital, Jhilmil",Tier 2: ESI / ESIS Secondary Hospital,"Jhilmil Colony, Shahdara, Delhi",110095,28.6738,77.3114,011-22151329,"https://www.google.com/maps/search/?api=1&query=28.6738,77.3114"
esi_reg_esicmedicalc,"ESIC Medical College & Hospital, Faridabad",Tier 1: ESIC Medical College / PGIMSR,"NH-3, NIT Faridabad, Haryana",121001,28.3888,77.2917,0129-2418035,"https://www.google.com/maps/search/?api=1&query=28.3888,77.2917"
esi_reg_esichospital,"ESIC Hospital, Manesar",Tier 2: ESI / ESIS Secondary Hospital,"Sector 3, IMT Manesar, Gurugram, Haryana",122050,28.361,76.929,0124-2290189,"https://www.google.com/maps/search/?api=1&query=28.361,76.929"
esi_reg_esicmedicalc,"ESIC Medical College & PGIMSR, Rajajinagar",Tier 1: ESIC Medical College / PGIMSR,"Dr. Rajkumar Road, Rajajinagar, Bengaluru, Karnataka",560010,12.993,77.5539,080-23321803,"https://www.google.com/maps/search/?api=1&query=12.993,77.5539"
esi_reg_esicmedicalc,"ESIC Medical College & Hospital, Kalaburagi",Tier 1: ESIC Medical College / PGIMSR,"Sedam Road, Kalaburagi, Karnataka",585106,17.318,76.848,08472-265546,"https://www.google.com/maps/search/?api=1&query=17.318,76.848"
esi_reg_esichospital,"ESIC Hospital, Peenya",Tier 2: ESI / ESIS Secondary Hospital,"Peenya 1st Stage, Bengaluru, Karnataka",560058,13.0289,77.5255,080-28392120,"https://www.google.com/maps/search/?api=1&query=13.0289,77.5255"
esi_reg_esishospital,"ESIS Hospital, Indiranagar",Tier 2: ESI / ESIS Secondary Hospital,"HAL 2nd Stage, Indiranagar, Bengaluru, Karnataka",560038,12.9719,77.6412,080-25265691,"https://www.google.com/maps/search/?api=1&query=12.9719,77.6412"
esi_reg_esicmodelhos,"ESIC Model Hospital & PGIMSR, Andheri",Tier 1: ESIC Model / Super Speciality Hospital,"Central Road, MIDC, Andheri East, Mumbai, Maharashtra",400093,19.1204,72.8716,022-28367203,"https://www.google.com/maps/search/?api=1&query=19.1204,72.8716"
esi_reg_esichospital,"ESIC Hospital, Kandivali",Tier 2: ESI / ESIS Secondary Hospital,"Akurli Road, Kandivali East, Mumbai, Maharashtra",400101,19.2064,72.8682,022-28872579,"https://www.google.com/maps/search/?api=1&query=19.2064,72.8682"
esi_reg_esishospital,"ESIS Hospital, Mulund",Tier 2: ESI / ESIS Secondary Hospital,"LBS Marg, Mulund West, Mumbai, Maharashtra",400080,19.175,72.946,022-25645521,"https://www.google.com/maps/search/?api=1&query=19.175,72.946"
esi_reg_esishospital,"ESIS Hospital, Thane",Tier 2: ESI / ESIS Secondary Hospital,"Wagle Industrial Estate, Thane, Maharashtra",400604,19.191,72.951,022-25822331,"https://www.google.com/maps/search/?api=1&query=19.191,72.951"
esi_reg_esichospital,"ESIC Hospital, Bibvewadi",Tier 2: ESI / ESIS Secondary Hospital,"Bibvewadi, Pune, Maharashtra",411037,18.4725,73.8647,020-24212836,"https://www.google.com/maps/search/?api=1&query=18.4725,73.8647"
esi_reg_esicmedicalc,"ESIC Medical College & PGIMSR, KK Nagar",Tier 1: ESIC Medical College / PGIMSR,"Ashok Pillar Road, KK Nagar, Chennai, Tamil Nadu",600078,13.0336,80.2014,044-24748959,"https://www.google.com/maps/search/?api=1&query=13.0336,80.2014"
esi_reg_esicmedicalc,"ESIC Medical College & Hospital, Coimbatore",Tier 1: ESIC Medical College / PGIMSR,"Singanallur, Coimbatore, Tamil Nadu",641015,11.0028,77.0142,0422-2574373,"https://www.google.com/maps/search/?api=1&query=11.0028,77.0142"
esi_reg_esicmedicalc,"ESIC Medical College & Hospital, Parippally",Tier 1: ESIC Medical College / PGIMSR,"Parippally, Kollam, Kerala",691574,8.802,76.764,0474-2575070,"https://www.google.com/maps/search/?api=1&query=8.802,76.764"
esi_reg_esichospital,"ESIC Hospital, Asramam",Tier 2: ESI / ESIS Secondary Hospital,"Asramam, Kollam, Kerala",691002,8.8932,76.593,0474-2766618,"https://www.google.com/maps/search/?api=1&query=8.8932,76.593"
esi_reg_esicmedicalc,"ESIC Medical College & Hospital, Joka",Tier 1: ESIC Medical College / PGIMSR,"Diamond Harbour Road, Joka, Kolkata, West Bengal",700104,22.4485,88.3039,033-24672799,"https://www.google.com/maps/search/?api=1&query=22.4485,88.3039"
esi_reg_esichospital,"ESIC Hospital & PGIMSR, Manicktala",Tier 1: ESIC Medical College / PGIMSR,"Bagmari Road, Manicktala, Kolkata, West Bengal",700054,22.585,88.388,033-23558966,"https://www.google.com/maps/search/?api=1&query=22.585,88.388"
esi_reg_esishospital,"ESIS Hospital, Sealdah",Tier 2: ESI / ESIS Secondary Hospital,"APC Road, Sealdah, Kolkata, West Bengal",700009,22.571,88.372,033-23502931,"https://www.google.com/maps/search/?api=1&query=22.571,88.372"
esi_reg_esichospital,"ESIC Hospital & PGIMSR, Bihta",Tier 1: ESIC Medical College / PGIMSR,"Bihta, Patna, Bihar",801103,25.568,84.872,06115-252514,"https://www.google.com/maps/search/?api=1&query=25.568,84.872"
esi_reg_esicmodelhos,"ESIC Model Hospital, Jaipur",Tier 1: ESIC Model / Super Speciality Hospital,"Ajmer Road, Sodala, Jaipur, Rajasthan",302006,26.903,75.772,0141-2228040,"https://www.google.com/maps/search/?api=1&query=26.903,75.772"
esi_reg_esicmodelhos,"ESIC Model Hospital, Bapunagar",Tier 1: ESIC Model / Super Speciality Hospital,"Bapunagar, Ahmedabad, Gujarat",380024,23.0375,72.6318,079-22742681,"https://www.google.com/maps/search/?api=1&query=23.0375,72.6318"
